time,x,y,z
4504,-.276,.006,-.002
4529,-.176,.016,-.011
4551,.007,.032,-.014
4564,.079,.033,.008
4581,.033,.005,.015
4603,-.037,-.020,-.020
4621,-.062,-.037,-.042
4645,-.027,-.031,-.033
4667,.051,-.024,-.033
4686,.101,-.024,-.034
4707,.077,-.033,-.020
4718,.021,-.042,-.012
4740,.006,-.034,-.013
4759,.044,-.028,-.001
4776,.088,-.017,.010
4804,.083,-.015,.008
4816,.037,-.026,.003
4843,-.004,-.038,-.002
4856,.006,-.032,-.002
4878,.043,-.020,.002
4894,.056,-.009,.002
4918,.011,-.013,.006
4942,-.050,-.023,.015
4959,-.065,-.026,.019
4972,-.025,-.013,.021
4990,.048,.004,.016
5009,.083,.026,.013
5032,.033,.037,.015
5051,-.062,.028,.021
5078,-.091,.026,.025
5089,-.034,.040,.025
5112,-.042,.054,.026
5129,-.214,.056,.043
5147,-.569,.087,.054
5175,-1.361,.165,.034
5186,-2.694,.239,.020
5210,-4.568,.254,.024
5225,-6.932,.230,.032
5245,-10.386,.323,.025
5266,-15.784,-.101,-.194
5285,-20.856,-1.080,-.119
5303,-22.845,-1.472,.403
5339,-21.421,-1.268,.937
5344,-13.963,-.357,.218
5363,-2.847,-.425,-.355
5382,4.633,-.137,-.484
5404,7.432,.639,-1.014
5422,6.660,.874,-.832
5445,6.959,.781,.151
5458,10.856,1.195,.565
5479,17.741,.271,-.724
5498,24.050,.170,-1.169
5519,26.669,.727,-1.338
5544,21.295,2.031,-1.549
5559,8.953,.468,-1.621
5585,-2.018,-.158,-.443
5605,-7.191,-.315,-.041
5617,-6.196,-.429,.506
5636,-3.223,.498,.460
5653,-3.454,.932,-.006
5680,-8.174,.550,-.148
5702,-15.410,-.954,-.029
5713,-20.454,-2.370,.468
5733,-21.768,-2.061,.787
5753,-20.089,-1.517,.768
5780,-15.549,-1.009,-.145
5797,-8.331,-.627,-.896
5817,-.734,-.539,-.677
5829,4.255,-.266,-.389
5850,5.539,.235,-.531
5880,4.419,.464,-.468
5888,4.647,.503,.066
5913,7.042,.659,.337
5927,11.331,1.078,.181
5949,15.336,.527,-.502
5981,17.497,-.006,-.925
5997,18.410,-.010,-1.016
6038,17.154,.805,-.991
6039,12.961,.858,-.593
6137,.364,.418,.017
6164,1.939,.602,-.189
6167,.748,.396,-.155
6230,-.903,.065,.049
6231,-.246,.016,.009
6248,.332,.090,-.022
6259,.109,.050,.027
6276,-.328,-.049,.070
6298,-.433,-.075,.085
6324,-.266,-.067,.098
6337,-.055,-.055,.108
6358,-.028,-.057,.121
6375,-.191,-.092,.135
6394,-.281,-.111,.126
6415,-.268,-.101,.113
6436,-.229,-.094,.103
6453,-.201,-.086,.103
6474,-.242,-.082,.100
6493,-.309,-.104,.109
6511,-.282,-.108,.133
6531,-.193,-.083,.151
6553,-.210,-.066,.154
6571,-.299,-.056,.151
6587,-.319,-.043,.141
6615,-.293,-.010,.121
6630,-.303,.007,.105
6648,-.343,.022,.088
6668,-.358,.065,.056
6691,-.317,.109,.031
6715,-.204,.152,.020
6726,-.065,.189,.000
6755,-.014,.198,-.020
6765,-.082,.173,.002
6787,-.150,.141,.050
6812,-.137,.120,.067
6821,-.094,.098,.066
6849,-.078,.073,.075
6865,-.065,.050,.093
6890,-.043,.026,.103
6902,-.027,-.001,.102
6922,-.039,-.022,.111
6942,-.061,-.049,.119
6962,-.049,-.060,.107
6989,-.022,-.055,.083
7005,-.004,-.053,.064
7017,.004,-.049,.045
7040,.011,-.043,.027
7058,.029,-.038,.014
7085,.046,-.022,.000
7098,.059,-.018,-.016
7122,.069,-.012,-.023
7139,.037,-.013,-.017
7156,-.026,-.027,-.012
7173,-.058,-.048,-.007
7197,-.014,-.054,-.001
7220,-.005,-.061,-.002
7234,-.064,-.086,.009
7261,-.109,-.095,.017
7274,-.100,-.086,.006
7295,-.071,-.072,.004
7316,-.047,-.076,.017
7331,-.036,-.077,.025
7351,-.045,-.075,.026
7371,-.060,-.066,.032
7390,-.058,-.050,.036
7408,-.048,-.034,.056
7428,-.020,-.026,.099
7447,.015,-.013,.122
7468,.044,-.026,.116
7486,.035,-.032,.121
7508,.006,-.042,.143
7528,.002,-.043,.153
7548,.016,-.051,.153
7565,.015,-.060,.166
7587,.006,-.064,.191
7610,.026,-.068,.202
7625,.057,-.057,.213
7644,.072,-.040,.231
7662,.038,-.038,.247
7682,-.016,-.038,.257
7710,-.028,-.024,.253
7720,.007,.002,.237
7740,.030,.037,.208
7765,.027,.065,.175
7788,.026,.079,.152
7799,.043,.081,.157
7819,.061,.081,.177
7840,.045,.070,.188
7863,.015,.048,.181
7889,.011,.027,.176
7894,.052,.015,.185
7915,.069,.011,.193
7933,.066,-.002,.181
7955,.059,-.018,.158
7974,.043,-.038,.138
8000,.022,-.055,.113
8013,.032,-.067,.089
8033,.099,-.057,.077
8057,.157,-.040,.087
8073,.145,-.042,.105
8092,.079,-.059,.122
8119,.046,-.068,.129
8131,.054,-.065,.118
8155,.043,-.056,.093
8169,.012,-.048,.061
8189,.011,-.039,.041
8207,.052,-.016,.021
8226,.074,.010,.008
8253,-.018,.023,.008
8266,-.254,.013,.008
8306,-.642,.043,-.003
8311,-1.524,.233,-.025
8324,-3.669,.629,-.022
8346,-7.520,.682,-.095
8363,-12.872,.076,-.526
8384,-18.712,-.668,-.790
8401,-21.828,-1.013,-.411
8421,-21.250,-1.108,.225
8439,-17.318,-.804,.252
8457,-9.482,-.501,-.510
8479,-.743,-.420,-.557
8496,6.249,-.070,-.635
8516,11.202,.621,-.916
8541,13.984,1.166,-.521
8560,15.497,1.338,.078
8580,17.265,.158,.120
8597,18.485,-1.080,-.526
8619,18.141,.783,-1.461
8635,14.422,1.517,-1.565
8662,7.869,.483,-1.262
8675,.496,.270,-.607
8693,-4.313,-.420,.099
8715,-4.684,-.388,.209
8734,-2.681,.216,-.141
8759,-2.436,.610,-.325
8777,-5.712,.572,-.188
8802,-11.541,-.139,-.204
8820,-17.627,-1.195,-.194
8834,-21.070,-1.428,.011
8858,-21.026,-1.360,.212
8878,-17.278,-1.037,.184
8896,-10.516,-.659,-.504
8913,-3.290,-.407,-.784
8930,2.522,-.419,-.702
8949,4.258,-.194,-.549
8968,2.712,.239,-.233
8995,2.627,-.024,.152
9006,5.382,.204,.390
9032,10.237,1.004,.377
9047,14.679,.766,-.149
9081,17.201,.241,-.656
9095,18.048,-.037,-.739
9139,16.935,.692,-.835
9140,13.361,.902,-.664
9234,8.187,.403,-.350
9244,2.757,.569,-.256
9254,-1.444,.242,-.367
9255,-2.610,-.162,-.425
9288,1.933,.336,-.587
9291,.227,.087,-.165
9343,-.690,-.123,-.013
9351,-.408,-.147,-.104
9353,.166,-.038,-.036
9381,.298,.024,.147
9385,-.004,.002,.231
9395,-.270,-.040,.258
9415,-.225,-.043,.286
9436,-.042,-.045,.269
9456,.001,-.044,.212
9477,-.121,-.057,.170
9492,-.202,-.068,.124
9515,-.182,-.056,.083
9534,-.113,-.038,.056
9554,-.093,-.012,.032
9573,-.102,.001,.009
9594,-.089,.020,-.002
9613,-.073,.042,.003
9630,-.064,.056,.000
9650,-.098,.065,.008
9680,-.153,.067,.026
9689,-.139,.062,.038
9708,-.100,.070,.054
9729,-.062,.066,.061
9747,-.050,.067,.055
9772,-.075,.064,.042
9785,-.054,.046,.025
9806,.012,.037,.008
9832,.043,.026,-.006
9845,.033,-.009,-.031
9864,.044,-.042,-.053
9882,.071,-.066,-.040
9902,.073,-.099,-.012
9928,.049,-.121,-.012
9943,.005,-.110,-.020
9963,-.000,-.078,.011
