time,x,y,z
4689,.001,-.175,-.167
4716,.023,-.179,-.158
4736,.038,-.180,-.144
4755,.027,-.191,-.138
4775,.009,-.213,-.154
4789,.017,-.224,-.183
4816,.054,-.221,-.197
4836,.091,-.232,-.215
4854,.138,-.241,-.217
4877,.160,-.240,-.199
4897,.131,-.228,-.166
4927,.070,-.205,-.127
4929,.025,-.174,-.087
4949,-.001,-.136,-.057
4970,-.001,-.102,-.028
4992,.017,-.061,-.007
5021,.071,-.024,.005
5031,.111,.004,.014
5049,.121,.031,.016
5068,.116,.042,.011
5088,.130,.051,.004
5113,.149,.062,-.004
5133,.174,.077,-.013
5150,.175,.082,-.012
5169,.158,.085,.000
5189,.138,.086,.025
5209,.124,.086,.050
5229,.122,.090,.077
5250,.120,.096,.105
5269,.114,.093,.120
5287,.100,.088,.131
5309,.086,.084,.138
5325,.062,.082,.148
5347,.056,.092,.153
5368,.061,.093,.147
5389,.078,.086,.138
5409,.097,.087,.127
5424,.088,.084,.117
5444,.095,.090,.110
5466,.099,.096,.102
5485,.091,.103,.093
5507,.067,.125,.077
5525,.028,.153,.070
5544,-.116,.339,.058
5564,-.440,.576,.034
5589,-.327,.679,.076
5607,.051,.566,-.066
5625,.493,.146,.062
5646,-.055,.984,-.380
5668,-2.443,.279,-.233
5688,-1.253,-.397,.120
5705,.683,.157,-.049
5726,1.122,.582,-.194
5753,.209,-.035,-.763
5770,.290,-.149,-.176
5786,1.020,-.135,-.070
5805,.947,-.089,.150
5825,-.045,-.136,.075
5851,-.343,-.257,.165
5865,-.001,-.113,.266
5891,-.034,-.069,.091
5923,.062,.183,.172
5928,-.182,.201,.123
5945,-.338,.139,.069
5965,-.190,.098,.064
5981,-.116,.088,.037
6003,-.153,.173,.016
6027,-.178,.239,.043
6043,-.102,.251,-.033
6062,.270,.145,-.090
6084,.894,-.026,.148
6107,.672,.521,.078
6125,-2.795,.591,-.558
6144,-2.954,-1.251,-.763
6164,.841,.305,-.024
6183,1.801,.763,.453
6201,.858,-.037,-.575
6222,.109,-.239,-.478
6243,.267,-.263,-.028
6264,.646,-.321,.275
6282,.116,-.362,.270
6301,-.372,-.456,.301
6323,-.023,-.400,.407
6342,-.065,-.240,.321
6362,.122,-.089,.233
6383,.102,.047,.241
