time,x,y,z
4679,-.112,.027,.138
4690,-.169,-.058,.259
4716,-.189,-.043,.349
4736,-.254,-.095,.353
4755,-.311,.027,.398
4776,-.318,.015,.354
4789,-.243,-.152,.159
4815,.029,-.196,.327
4835,.244,.038,.473
4855,.238,.055,.351
4876,.204,.188,-.011
4897,.052,.253,-.320
4929,.015,.471,-.384
4932,.008,.487,-.442
4950,.016,.498,-.468
4970,.053,.384,-.539
4994,.123,.335,-.418
5025,.027,.237,-.401
5030,.008,.091,-.283
5049,-.052,.089,-.076
5069,-.066,.116,-.015
5089,.052,-.101,.044
5112,.108,.004,.074
5135,.179,.018,.057
5151,.151,-.024,-.005
5172,.125,-.062,.031
5189,.090,-.029,.122
5209,.073,.070,.060
5229,-.017,.046,.029
5249,.071,.153,-.066
5271,.050,.193,-.052
5289,-.010,.239,.012
5310,.010,.176,.153
5327,.015,.169,.145
5348,.026,.298,.030
5369,.167,.287,-.155
5388,.195,.223,-.069
5408,.172,.195,.047
5426,.224,.127,.002
5446,.233,.078,-.093
5467,.198,.017,-.198
5490,.230,.005,-.147
5507,.311,.072,-.058
5526,.372,.070,-.033
5545,.568,-.105,-.155
5566,1.084,.002,-.758
5588,1.074,-.551,-3.457
5608,-.056,-2.001,-4.597
5627,.894,-1.497,-.254
5647,1.683,2.227,1.270
5667,-4.358,6.307,16.847
5687,-3.029,2.555,-7.618
5705,3.802,-4.186,-1.992
5730,2.008,-2.033,-1.094
5752,-2.744,2.153,3.459
5771,-1.857,-1.585,4.460
5785,.678,-2.695,.328
5806,.504,-.955,-1.300
5827,.692,2.994,-.672
5852,.043,2.113,.141
5866,.330,.535,-.312
5891,1.103,.505,-1.194
5923,.391,-1.796,-2.757
5929,.384,.839,-.711
5944,-.180,.540,.257
5965,-.063,-.356,.254
5985,-.038,-.427,.549
6005,.285,-.230,.889
6029,1.095,-.036,.017
6043,.552,-.169,-1.705
6063,.642,-1.643,-1.348
6084,1.148,-2.099,.398
6107,2.008,.886,.469
6127,-2.244,6.550,15.307
6145,-2.280,7.696,-5.437
6164,-1.490,-8.765,-3.764
6184,6.969,-4.361,-3.543
6202,-3.079,2.731,.961
6223,-3.483,1.954,3.258
6244,.182,-1.579,3.677
6263,-.275,-1.787,.973
6282,-.181,1.890,1.056
6302,-.164,3.098,.096
6324,.585,.256,-1.707
6343,1.135,1.072,-.582
6362,-.049,-.558,-1.799
6383,.709,-.946,-2.115
6404,-.780,.735,-.061
6424,-.600,-.664,.388
6443,-.400,-1.072,.525
6465,-.362,-.656,.737
6487,.006,-.126,.575
6507,.196,.038,.103
6533,.192,.089,-.256
6543,.243,.155,-.038
6561,.087,.261,.026
6582,.208,.337,-.002
6602,.119,.340,-.336
6627,.072,-.048,-.262
6642,.178,.139,-.293
6666,-.124,-.092,-.068
6681,.024,-.252,.186
6701,-.075,-.087,.175
6732,-.004,-.191,.012
6744,.034,.042,-.117
6765,-.075,-.154,-.003
6781,.045,-.078,.068
6801,.125,.162,.189
6831,-.072,.166,-.173
6845,.086,-.195,-.127
6864,.096,.076,.190
6892,.118,.279,.180
6903,.182,.267,.080
6929,.146,.205,-.183
6946,-.051,.101,-.344
6962,-.080,.106,-.166
6986,-.028,.123,.197
7008,-.096,.208,.233
7027,-.054,.269,-.094
7039,-.099,.151,-.204
7059,-.106,.067,-.103
7080,-.086,-.155,.154
7105,-.075,-.155,.179
7128,.072,.119,.166
7138,.020,.154,-.044
7159,.082,.042,-.024
7179,.109,.063,.171
7203,.160,.213,.118
7221,.151,.127,-.029
7242,.075,-.022,-.008
7260,.082,-.191,.084
7279,.185,-.057,.092
7297,.289,.134,.027
7319,.334,.278,-.041
7340,.309,-.013,-.109
7360,.297,-.150,-.066
7383,.228,-.286,-.017
7399,.189,-.182,.032
7422,.181,.130,.179
7440,.091,.285,.168
7460,.080,.193,-.010
7478,-.094,-.374,-.084
7498,-.004,-.575,-.025
7521,-.119,-.265,.073
7542,-.159,.078,.071
7557,-.011,.413,-.329
7583,-.253,-.222,-.179
7603,-.208,-.117,-.196
7627,-.129,-.112,-.077
7638,-.080,.023,.056
7657,-.038,.191,-.000
7676,-.063,.289,.005
7697,-.027,.207,-.005
7716,.072,.128,.055
7742,.012,.200,-.026
7760,.038,.086,-.068
7776,-.011,.136,-.080
7796,.025,.124,-.008
7819,.020,.064,-.031
7841,.042,.080,-.030
7862,.089,-.008,-.066
7884,.164,.010,.052
7895,.152,.087,.092
7920,.127,-.093,-.009
7940,.126,-.114,-.092
7957,.057,-.008,-.140
7983,.106,-.011,.129
8001,.107,.065,.184
8022,.236,.118,.145
8034,.172,.097,-.027
8056,.107,.086,-.114
8075,.136,.007,.024
8100,.082,.095,.158
8126,.133,.168,.166
8133,.193,.080,.013
8155,.219,.114,-.048
8176,.246,.090,-.032
8201,.268,-.075,-.053
8226,.135,.042,-.059
8232,.092,-.063,-.065
